[Info] 2016-03-26 15:48:21 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:22 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:23 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:24 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:24 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:25 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:26 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:27 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:28 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:29 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:30 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:31 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:32 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:33 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:34 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:35 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:36 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:37 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:38 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:38 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:39 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:40 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:41 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:42 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:43 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:44 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:45 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:46 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:47 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:48 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:49 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:50 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:51 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:52 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:52 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:53 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:54 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:55 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:56 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:57 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:58 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:59 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:00 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:01 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:02 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:03 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:04 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:05 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:06 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:06 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:07 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:08 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:09 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:10 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:11 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:12 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:13 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:14 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:15 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:16 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:17 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:18 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:19 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:20 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:20 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:21 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:22 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:23 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:24 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:25 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:26 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:27 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:28 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:29 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:30 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:31 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:32 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:33 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:49:34 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
